id|token|source_id|attrib|object|value|update_type|attrib_type
-1068269931|10327790661360|11|assigned_user_id|a3fbf8b6-a7d0-386b-ef8c-4991e79b43fa|746204a9-edb3-2e41-b8c1-49ed199f3ca7|query|
-1068049375|10327790661360|11|primary_address_city|3f5f73ca-f02b-9c74-792f-49a5fc482060|Alameda|query|
-1065755413|10327792887443|12|status|6307e67c-9b4e-96dd-6877-4994b538382e|New|query|
-1061490348|10327794367142|13|opportunity_type|cdbf56f2-09ee-44e0-cd81-49f9f344287e|Existing Business|query|
-1059589815|10327790661360|11|id|dc38e628-5bcd-5ab5-5fff-497df5448004|dc38e628-5bcd-5ab5-5fff-497df5448004|query|
-1057244839|10327790661360|11|date_entered|f325bacb-95cc-412c-3b70-49a8a35a5d6a|2009-04-21 00:56:51|query|
-1053602287|10327790661360|11|team_name|db14046e-62f7-f021-c85f-49aad90fb14a|Global|query|
-1051043911|10327790661360|11|department|7b936afa-05a2-31c2-cefc-497df43ffd93|Executive|query|
-1045504019|10327784365113|1|assigned_user_id|6fb37ee6-b488-3937-781c-49a88f75a7f1|1|query|
-1043529111|10327790661360|11|primary_address_city|a4f2eb8e-92b9-c60a-96a8-49a82c3a990e|Cupertino|query|
-1040407268|10327792887443|12|date_entered|3d3649cc-facc-ebf8-c59e-499f3f6dd277|2009-04-21 01:02:26|query|
-1035679972|10327786387701|2|description|542c5954-11e9-bdb6-4379-49780dfdf366|Establish partnership with SugarCRM to be listed on their website and have access to their customers.
Bronze level is $2K|query|
-1032452498|10327790661360|11|description|bc627351-e133-7b99-2040-49ab4e71cac3|Philosopher and thought leader|query|
-1029595342|10327790661360|11|primary_address_street|8fdf20e0-b916-a5a6-a1fc-49a8909f548e|11111 N Wolfe Rd|query|
-1021040895|10327786387701|2|account_id|542c5954-11e9-bdb6-4379-49780dfdf366|a0a732a8-183d-218c-fb24-4977bd98cb86|query|
-1018081059|10327784365113|1|assigned_user_id|bbbe0c3c-d16d-01d0-f1ef-498cefbffd9e|746204a9-edb3-2e41-b8c1-49ed199f3ca7|query|
-1014581262|10327790661360|11|title|8d3347e1-f4a7-f28d-c40c-4991e750a7bb|Director of Corporate Strategy|query|
-1014494239|10327790661360|11|primary_address_state|7be805e7-b1db-2dee-6ba5-497df43b9033|DC|query|
-1005391356|10327790661360|11|last_name|dc38e628-5bcd-5ab5-5fff-497df5448004|Adams|query|
-1000186935|10327800511828|18|private|da1f08d2-832e-04d5-1eef-49ed19b595e6|1|query|
-995650081|10327790661360|11|do_not_call|a3fbf8b6-a7d0-386b-ef8c-4991e79b43fa|0|query|
-989822538|10327790661360|11|primary_address_postalcode|bc627351-e133-7b99-2040-49ab4e71cac3|01772|query|
-987820830|10327784365113|1|name|ad7ee7a3-9c00-186a-5483-4977be678314|Carry The Day|query|
-980699358|10327790661360|11|primary_address_street|a3fbf8b6-a7d0-386b-ef8c-4991e79b43fa|1 Main Ave.|query|
-971513264|10327790661360|11|primary_address_city|8fdf20e0-b916-a5a6-a1fc-49a8909f548e|Cupertino|query|
-965767117|10327790661360|11|id|128ee29d-a276-b958-0876-49a6cc346843|128ee29d-a276-b958-0876-49a6cc346843|query|
-963847426|10327803392931|19|date_entered|57e13e27-5310-a481-19a9-49e90701cc89|2009-04-17 22:47:49|query|
-958236498|10327786387701|2|case_number|a4ac1886-180c-a95a-2158-497dfcb60d40|2|query|
-958185487|10327800511828|18|private|73aa2427-a174-c6e8-9cc3-49e9075caaf6|0|query|
-954948199|10327784365113|1|website|44f75229-a44c-82e9-0ec4-4977bfbfca22|www.lighthouseapp.com|query|
-954684569|10327792887443|12|date_entered|26b41519-18c0-68b9-4f3c-498dec58618f|2009-04-21 01:02:26|query|
-952475693|10327790661360|11|email1|128ee29d-a276-b958-0876-49a6cc346843|hank-zakroff@mac.com|query|
-945576705|10327790661360|11|last_name|7be805e7-b1db-2dee-6ba5-497df43b9033|Washington|query|
-943758267|10327784365113|1|id|bbbe0c3c-d16d-01d0-f1ef-498cefbffd9e|bbbe0c3c-d16d-01d0-f1ef-498cefbffd9e|query|
-943074280|10327800511828|18|id|73aa2427-a174-c6e8-9cc3-49e9075caaf6|73aa2427-a174-c6e8-9cc3-49e9075caaf6|query|
-941468501|10327800511828|18|description|90289994-ff22-7f77-f14f-49e7d65b914c|Private team for Prospecting|query|
-941256883|10327790661360|11|last_name|3f5f73ca-f02b-9c74-792f-49a5fc482060|Higgins|query|
-931651869|10327790661360|11|team_name|10d0f082-e969-71aa-91ec-49a841b87e35|Global|query|
-918384847|10327790661360|11|primary_address_postalcode|8fdf20e0-b916-a5a6-a1fc-49a8909f548e|CA 95014|query|
-917255596|10327790661360|11|description|e80415ce-2841-3e79-5d55-498d1ee7f2bf|In charge of all strategic material|query|
-907229278|10327792887443|12|id|26b41519-18c0-68b9-4f3c-498dec58618f|26b41519-18c0-68b9-4f3c-498dec58618f|query|
-902570350|10327792887443|12|assigned_user_id|1670a6a5-062b-3499-c679-49976fe448a0|1|query|
-898619220|10327790661360|11|first_name|e80415ce-2841-3e79-5d55-498d1ee7f2bf|Jack|query|
-897672980|10327784365113|1|date_modified|2ed2e0c7-8c4c-99c6-1b37-498d250bb8e7|2009-04-21 00:59:13|query|
-895333414|10327803392931|19|receive_notifications|8a2734b9-33b9-23bc-fccd-49e7d6a0c318|1|query|
-882863998|10327800511828|18|id|42d9638c-3854-ee3a-8b31-49e7d300e9c9|42d9638c-3854-ee3a-8b31-49e7d300e9c9|query|
-882802321|10327790661360|11|primary_address_street|7b936afa-05a2-31c2-cefc-497df43ffd93|550 e. Brokaw Road|query|
-881168525|10327790661360|11|assigned_user_name|a3fbf8b6-a7d0-386b-ef8c-4991e79b43fa|John Insales|query|
-878432978|10327784365113|1|name|a52e35d3-a8e6-d47d-3262-497df5441ecd|US Government|query|
-877471058|10327800511828|18|name|7947e0b9-dd3b-862f-913a-49e90774e7a8|USA Southeast Region|query|
-876717740|10327790661360|11|primary_address_state|bc627351-e133-7b99-2040-49ab4e71cac3|MA|query|
-869496406|10327784365113|1|team_id|2ed2e0c7-8c4c-99c6-1b37-498d250bb8e7|1|query|
-865605593|10327792887443|12|lead_source|f1f30c73-fc08-f25f-4c5d-498deb40a246|Conference|query|
-865589880|10327790661360|11|first_name|7b936afa-05a2-31c2-cefc-497df43ffd93|Abraham|query|
-863425345|10327803392931|19|date_modified|1|2009-04-17 00:28:18|query|
-861486358|10327794367142|13|sales_stage|99d871ae-a893-4ad3-292b-49f9f1c04375|Needs Analysis|query|
-860260778|10327800511828|18|id|90289994-ff22-7f77-f14f-49e7d65b914c|90289994-ff22-7f77-f14f-49e7d65b914c|query|
-852355079|10327784365113|1|assigned_user_id|a52e35d3-a8e6-d47d-3262-497df5441ecd|1|query|
-851966793|10327784365113|1|assigned_user_name|6fb37ee6-b488-3937-781c-49a88f75a7f1|admin|query|
-851682221|10327784365113|1|team_id|6fb37ee6-b488-3937-781c-49a88f75a7f1|1|query|
-850032217|10327790661360|11|report_to_name|e80415ce-2841-3e79-5d55-498d1ee7f2bf|Joe Bossy|query|
-841750116|10327792887443|12|email1|26b41519-18c0-68b9-4f3c-498dec58618f|julie@mainco.com|query|
-841652761|10327790661360|11|phone_mobile|10d0f082-e969-71aa-91ec-49a841b87e35|(555) 564-8583|query|
-825404101|10327800511828|18|private|37f8747b-7986-2d85-3d64-49e7d3171704|0|query|
-824885495|10327800511828|18|private|d54550b2-9949-0195-28e7-49e907ca213b|0|query|
-824006253|10327792887443|12|date_modified|6307e67c-9b4e-96dd-6877-4994b538382e|2009-04-28 22:53:38|query|
-822226226|10327794367142|13|opportunity_type|99d871ae-a893-4ad3-292b-49f9f1c04375|Existing Business|query|
-821950493|10327786387701|2|date_entered|34014e97-88b5-d41d-3a90-4991ed6f9820|2009-04-21 01:01:40|query|
